time_s,u_mps,v_mps,w_mps,p_radps,q_radps,r_radps,q0,q1,q2,q3,north_m,east_m,altitude_m,canard_rad,elevon_left_rad,elevon_right_rad,rudder_rad,throttle
2.3,199.995133862,1.40662824288,0.135071107291,-0.00581537778437,-0.000455703188948,-8.59812826982e-05,0.999994804024,-0.00253401041325,0.000546534320864,-0.00191625086988,459.999662984,2.32932702828,4999.91338443,0,-0.00207431658366,0.0181209850887,0.0125751779621,0.142899957577
2.35,199.995175894,1.3773461455,0.130909971261,-0.00488682536318,-0.000455458674128,-9.36937430694e-05,0.999994458492,-0.00266760313715,0.000535388247644,-0.00191839495133,469.999615292,2.3605841592,4999.9178179,0,-0.00157008256942,0.0176338099214,0.0123410047244,0.142900797279
2.4,199.995219032,1.34859264232,0.127072886213,-0.00405875908578,-0.000452817417089,-9.92421697519e-05,0.99999415585,-0.00277926002619,0.000524236285646,-0.00192071746142,479.999564175,2.39034545897,4999.92223259,0,-0.00110629858478,0.0171857808146,0.0121041222336,0.142901462857
2.45,199.995263773,1.32035340405,0.123561158406,-0.00332078271419,-0.000447995839439,-0.000102322674384,0.999993896698,-0.00287136098164,0.000513140323881,-0.00192315884089,489.99950982,2.41863405019,4999.92661018,0,-0.000679066746829,0.0167729975961,0.0118660006049,0.142901965896
2.5,199.995310559,1.29261011524,0.12037282858,-0.00266353281164,-0.000441212668117,-0.000102783324028,0.999993680255,-0.00294603910867,0.000502156365048,-0.00192565407045,499.999452426,2.44547350268,4999.93093401,0,-0.000284826832717,0.0163919087229,0.0116278144715,0.142902317568
2.55,199.995359772,1.26534210729,0.117503091577,-0.00207858548059,-0.000432684803686,-0.000100593152393,0.99999350479,-0.00300520535875,0.000491334557099,-0.00192813605157,509.999392204,2.47088774445,4999.93518894,0,7.96628336933e-05,0.0160392910702,0.0113904846174,0.142902528565
2.6,199.995411725,1.23852765015,0.114944699429,-0.00155836998354,-0.00042262406999,-9.58148160863e-05,0.999993367952,-0.00305057092659,0.00048071931347,-0.00193053826089,519.999329372,2.49490098644,4999.93936144,0,0.000417345222014,0.0157122289647,0.0111547167727,0.142902609067
2.65,199.995466668,1.21214494736,0.112688342681,-0.00109608893697,-0.000411234724731,-8.85808834853e-05,0.999993267008,-0.00308366756973,0.000470349502219,-0.00193279676919,529.999264158,2.51753765876,4999.94343943,0,0.000730884774078,0.0154080928774,0.0109210370879,0.142902568716
2.7,199.995524783,1.18617287767,0.110723006323,-0.000685644763176,-0.000398711616584,-7.90736281182e-05,0.99999319903,-0.00310586601141,0.000460258687047,-0.00193485171416,539.999196788,2.53882235624,4999.94741235,0,0.00102268758678,0.0151245181299,0.0106898240279,0.142902416613
2.75,199.995586194,1.16059152333,0.109036298096,-0.000321572080708,-0.000385238883295,-6.75081159396e-05,0.999993161023,-0.00311839257919,0.000450475405691,-0.00193664831178,549.999127493,2.55877979169,4999.95127098,0,0.00129492131597,0.0148593839196,0.0104613366019,0.142902161322
